,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
62,0,77,3,3,3,3,2,2,0
63,0,78,5,5,1,1,0,0,0
64,0,79,5,5,1,1,0,0,0
65,0,80,3,3,2,2,1,1,0
66,0,81,3,3,1,1,0,0,0
67,0,82,9,9,4,4,0,0,0
68,0,83,6,6,2,2,0,0,0
69,0,84,5,5,2,2,0,0,0
70,0,87,3,3,1,1,0,0,0
71,0,88,7,7,2,2,0,0,0
72,0,89,7,7,1,1,0,0,0
73,0,90,4,4,4,4,3,0,0
74,0,91,8,8,4,4,0,0,0
75,0,93,6,6,18,18,14,5,0
76,0,94,5,5,2,2,0,0,0
77,0,95,4,4,1,1,0,0,0
78,0,96,8,8,2,2,0,0,0
79,0,97,4,4,9,9,8,5,5
80,0,98,6,6,1,1,0,0,0
81,1,2,4,4,7,7,6,3,3
82,1,5,2,2,3,3,3,2,2
83,1,6,3,3,5,5,4,4,2
84,1,7,5,5,41,41,37,28,28
85,1,8,2,2,1,1,1,0,0
86,1,9,4,4,6,6,5,2,2
87,1,11,3,3,3,3,2,2,0
88,1,12,6,6,27,27,24,22,14
89,1,14,5,5,7,7,4,2,2
90,1,15,1,1,1,1,1,1,1
91,1,16,3,3,5,5,4,4,2
92,1,17,4,4,15,15,14,10,10
93,1,18,1,1,1,1,1,1,1
94,1,19,5,5,12,12,8,2,2
95,1,20,2,2,2,2,2,1,1
96,1,22,4,4,10,10,9,6,6
97,1,23,3,3,5,5,4,4,2
98,1,24,5,5,19,19,13,6,6
99,1,26,1,1,1,1,1,1,1
100,1,27,2,2,3,3,3,2,2
101,1,28,3,3,2,2,1,1,0
102,1,30,3,3,2,2,1,1,0
103,1,31,6,6,15,15,10,6,0
104,1,32,6,6,4,4,1,0,0
105,1,33,3,3,5,5,4,4,2
106,1,34,4,4,12,12,11,8,8
107,1,35,2,2,1,1,1,0,0
108,1,36,4,4,4,4,3,0,0
109,1,38,4,4,10,10,9,6,6
110,1,39,4,4,23,23,22,20,20
111,1,40,3,3,4,4,3,3,0
112,1,41,3,3,4,4,3,3,0
113,1,42,3,3,2,2,1,1,0
114,1,43,4,4,2,2,1,0,0
115,1,44,2,2,1,1,1,0,0
116,1,45,4,4,7,7,6,4,4
117,1,46,2,2,2,2,2,1,1
118,1,48,3,3,7,7,6,6,4
119,1,50,4,4,19,19,18,13,13
120,1,51,4,4,12,12,11,8,8
121,1,52,1,1,1,1,1,1,1
122,1,55,5,5,12,12,8,2,2
123,1,56,4,4,12,12,11,8,8
124,1,57,5,5,34,34,30,26,26
125,1,58,5,5,15,15,10,6,6
