,Timestamp,Flow robustness,Redundancy_avg,Disparity_avg,Modularity,Criticity,RCost,Efficiency
935,420,0.86,5.27906976744186,0.4456363133456527,-0.0029832230623818494,9,576,0.40055494505494516
936,432,0.86,5.662790697674419,0.4316495469888689,-0.003638801110791922,11,586,0.395864468864469
937,444,0.86,4.895348837209302,0.4301282050777948,-0.0030023243801652892,12,580,0.4006620879120881
938,456,0.86,5.5813953488372094,0.45869465213167265,-0.0048096885813148785,13,598,0.3884954212454214
939,468,0.86,3.7209302325581395,0.38374620972367235,-0.0024495572652053943,14,592,0.3898287545787548
940,480,0.86,4.011627906976744,0.43597533399552985,0.0031847133757961824,13,590,0.3830787545787546
941,492,0.86,3.883720930232558,0.41113904152697245,0.0001973597649225867,12,598,0.376007326007326
942,504,0.86,3.5930232558139537,0.412980668126017,0.001552227903579253,13,600,0.37231684981684987
943,516,0.86,3.988372093023256,0.4377600640462181,0.0018742190753852528,13,602,0.3718168498168498
944,528,0.86,5.77906976744186,0.4688380197853521,-0.008656442901234566,14,620,0.35839260739260737
945,540,0.86,5.1976744186046515,0.41015880873956234,-0.0032234002877084642,14,632,0.3538926073926074
946,552,0.92,4.0978260869565215,0.40526357705560573,0.0012626262626262545,15,690,0.36941641691641697
947,564,0.92,4.217391304347826,0.39689595652588694,0.013950027900055825,19,728,0.36285689310689306
948,576,0.92,4.891304347826087,0.37974157306991985,0.01514865205341397,18,732,0.3620235597735597
949,588,0.8,3.7375,0.3622160710269263,0.000631688466111767,15,632,0.3163687978687979
950,600,0.8,3.025,0.27709953741067767,-0.0003715814506539897,16,638,0.3117302697302696
951,612,0.73,2.767123287671233,0.38033051423462383,-0.00011342155009451648,13,558,0.2964207459207458
952,624,0.73,2.73972602739726,0.37311758256963734,-0.0054545454545454515,15,580,0.2862659840159839
953,636,0.73,3.3424657534246576,0.41939043452742086,0.001155931122448981,14,572,0.29161122211122203
954,648,0.84,2.9404761904761907,0.4334984129626987,0.00586116799661041,15,722,0.3133651903651903
955,660,0.84,2.607142857142857,0.3364151530853212,0.004902742346938771,16,732,0.3063695193695193
956,672,0.84,2.7738095238095237,0.36157865282865287,0.008659122085048003,17,748,0.30233019758019747
957,684,0.84,3.3214285714285716,0.393171326028469,0.008458883932328925,17,744,0.3048301975801975
958,696,0.84,3.5476190476190474,0.3401503883192273,0.019933127572016443,17,730,0.31358044733044715
959,708,0.84,3.5952380952380953,0.32616561789180837,0.025578231292517063,15,664,0.3210324675324674
960,720,0.78,3.141025641025641,0.3198856965110067,0.034807099585503314,15,616,0.3017705627705627
961,732,0.92,2.739130434782609,0.3271358338387324,0.03551092643890429,16,828,0.3205599955599955
962,744,0.92,2.739130434782609,0.34762183698519106,0.03543397968605726,16,828,0.3192907647907646
963,756,0.92,2.782608695652174,0.3310544417400345,0.03417633005069636,9,814,0.31731421356421347
964,768,1.0,2.74,0.3174137112994256,0.027366863905325466,11,984,0.32655988455988444
965,780,1.0,2.83,0.3308042883664733,0.027100591715976355,8,986,0.3268098845598844
966,792,1.0,2.37,0.2872490522843907,0.03212799167533814,9,1010,0.31892965367965354
967,804,1.0,2.76,0.3122418780954495,0.0322905827263267,10,1014,0.3182510822510822
968,816,1.0,2.77,0.3237468697035924,0.02155073461891644,10,1018,0.3170719003219002
969,828,1.0,2.88,0.3660410177124463,0.005494276795005209,9,1006,0.313635753135753
970,840,1.0,2.78,0.33600657593262634,0.022385424758138615,15,968,0.32730674880674876
971,852,1.0,2.09,0.3433750993715279,0.019929208987380726,14,1026,0.31825369075369064
972,864,1.0,2.12,0.3306010757760757,0.024305555555555546,15,1042,0.3130036907536906
973,876,1.0,3.07,0.39683772024874775,0.024270833333333318,16,1042,0.31416328116328107
974,888,1.0,2.23,0.359376443001443,0.03519610969387755,16,1064,0.31394924519924516
975,900,0.92,2.2065217391304346,0.3479232990956594,0.05491278034887864,16,900,0.3043658008658008
976,912,0.92,2.2282608695652173,0.28371420504960876,0.05723002958579877,14,910,0.30160822510822505
977,924,0.92,1.7934782608695652,0.26159250371206894,0.07028741483279813,12,946,0.29780129021305485
978,936,0.75,1.7333333333333334,0.2704405964405964,0.08408383132732926,9,624,0.2960450937950937
979,948,0.75,1.72,0.2593572631072631,0.07874050135383012,11,640,0.28939430014430007
980,960,0.75,1.5733333333333333,0.2178421115921116,0.07664609053497934,11,640,0.28939430014430007
981,972,0.75,1.5333333333333334,0.19313504088504088,0.0736890834104873,11,636,0.2903185425685425
982,984,0.75,1.5733333333333333,0.20532948532948533,0.06383769322235443,10,654,0.28520346320346307
983,996,0.9,1.5222222222222221,0.2235387143720477,0.06570814297231926,13,976,0.29927281052281046
984,1008,0.9,1.511111111111111,0.2164450056116723,0.08227040816326535,14,962,0.3041414973914973
985,1020,0.9,1.5222222222222221,0.20761784511784515,0.08101652439501916,14,960,0.3049748307248306
986,1032,0.9,1.8,0.25610254868588206,0.08144725507087473,13,972,0.3035329809079808
987,1044,0.9,1.7333333333333334,0.23308152577270225,0.07405931122448979,14,1026,0.29307522053110285
988,1056,1.0,2.08,0.3077227238619653,0.07047325102880653,19,1308,0.30397004689496954
989,1068,1.0,1.98,0.3115888521780937,0.057743757431629086,18,1290,0.31118433260925515
990,1080,0.94,1.7765957446808511,0.24477669493626936,0.05696343638525574,16,1068,0.30664012376512373
991,1092,0.94,1.9042553191489362,0.25263851645430596,0.05946469152428255,17,1166,0.30426239915055703
992,1104,0.88,2.477272727272727,0.32186328855886276,0.05435037982614141,14,956,0.3096781916913496
